"PWSID","SYSTEM NAME","ACTIVITY CODE","CLIENT ID","SITE ID","PRIMARY FACILITY ID","SYSTEM TYPE","OWNER TYPE","POPULATION SERVED","NONTRANSIENT POPULATION SERVED","CONSECUTIVE INDICATOR","PRIMARY SELLER","REGULATED BY","PRIMARY SOURCE","PRIMARY SELLER STATE","VENDING PWS PERM BY RULE","SERVICE CONNECTIONS","COUNTY","DISTRICT","REGION"
"6430965","BARLEY HOUSE BREWING","INACTIVE","334995","260622","276310","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431007","BAUGHHMAN'S STORE AND RESTAURA","INACTIVE","58582","269517","290395","TRANSIENT NONCOMM","INVESTOR","25","25","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431074","BELOVED DISCIPLE CHURCH","INACTIVE","249304","674217","684770","TRANSIENT NONCOMM","WATER ASSOCIATION","200",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431043","BFS FOODS# 52","ACTIVE","269130","485225","564756","TRANSIENT NONCOMM","INVESTOR","100","10","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431091","BIG DOG RC","ACTIVE","290146","752818","746675","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","50",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430004","BIG OAK MOBILEHOME PARK","INACTIVE","58515","269563","290452","COMMUNITY","INVESTOR","40","0","NOT CONSECUTIVE","","STATE","GROUND","","","26","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431115","BIG RAIL BREWING","ACTIVE","380620","867897","871660","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431027","BOARS HEAD BAR AND GRILLE","INACTIVE","380183","250695","258378","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430937","BORON OIL CO -RE:I 79 RT 208","INACTIVE","269130","485225","481088","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430808","BORON OIL CO RETAIL OUTLET","INACTIVE","269130","485225","481087","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430809","BORON OIL COMPANY","INACTIVE","295837","493405","478279","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
